category,brand_name,name,num_review,price,rating,score
Face Brushes,Hourglass,Vanish Foundation Brush,1412,$46.00,4.7319,579.8000000000001
Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,1266,$24.00,4.6057,514.8000000000001
Face Brushes,Kat Von D,Lock-It Setting Powder Brush,1206,$38.00,4.7728,495.00000000000006
Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,1158,$34.00,4.6829,474.6
Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,739,$32.00,4.7554,306.40000000000003
Face Brushes,SEPHORA COLLECTION,PRO Airbrush Concealer Brush #57,720,$24.00,4.8033,296.4
Face Brushes,SEPHORA COLLECTION,Classic Multitasker Brush #45,621,$24.00,4.7504,256.8
Face Brushes,SEPHORA COLLECTION,PRO Airbrush #55,600,$34.00,4.5843,251.4
Face Brushes,bareMinerals,Handy Buki Brush,526,$20.00,4.3771,217.6
Face Brushes,bareMinerals,Full Flawless Face Brush,510,$28.00,3.7106,213.3
Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,1537,$57.00,4.2723,633.1
Fine Lines & Wrinkles,philosophy,Miracle Worker? Miraculous Anti-aging Retinoid Pads and Solution,1208,$75.00,4.1531,506.90000000000003
Fine Lines & Wrinkles,philosophy,Help Me,1143,$49.00,4.3736,473.1
Fine Lines & Wrinkles,philosophy,Miraculous Anti-wrinkle Miracle Worker,1113,$60.0,4.3136,464.40000000000003
Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,1021,$75.00,4.2627,432.1
Fine Lines & Wrinkles,SUNDAY RILEY,Luna Sleeping Night Oil,993,$55.0,4.0959,414.90000000000003
Fine Lines & Wrinkles,SEPHORA COLLECTION,Sleeping Mask,821,$4.00,4.2107,330.8
Fine Lines & Wrinkles,Algenist,Complete Eye Renewal Balm,642,$68.00,4.0204,278.40000000000003
Fine Lines & Wrinkles,Peter Thomas Roth,Un-Wrinkle Peel Pads,645,$45.0,4.5545,272.7
Fine Lines & Wrinkles,CLINIQUE,Repairwear Laser Focus,640,$49.5,4.1377,271.9
Men's,Bumble and bumble,Surf Spray,2090,$16.0,3.6327,841.7
Men's,Bumble and bumble,Bb. Texture Hair (Un) Dressing Creme,586,$14.0,4.0667,239.8
Men's,Bumble and bumble,Thickening Shampoo,563,$11.0,3.8064,229.4
Men's,Bumble and bumble,Tonic Lotion,463,$9.0,4.3717,189.10000000000002
Men's,Phyto,Phyth?ol Intense Anti-Dandruff Treatment Shampoo,281,$26.00,4.363,121.4
Men's,Bumble and bumble,Surf Foam Wash Shampoo,269,$25.00,3.513,116.00000000000001
Men's,Bumble and bumble,Gentle Shampoo,277,$10.0,4.2708,115.00000000000001
Men's,Bumble and bumble,Super Rich Conditioner,277,$10.0,4.2780000000000005,115.00000000000001
Men's,Bumble and bumble,Thickening Conditioner,274,$11.0,3.7326,113.80000000000001
Men's,Living Proof,Amp? Instant Texture Volumizer,244,$25.00,4.0041,106.30000000000001
Makeup Removers,Lanc?me,BI-FACIL - Double-Action Eye Makeup Remover,2984,$15.0,4.6813,1199.3000000000002
Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,2896,$7.5,4.4093,1161.7
Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,2174,$10.0,4.4689,873.8000000000001
Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",2097,$9.5,4.5712,842.7
Makeup Removers,MAKE UP FOR EVER,Sens?Eyes - Waterproof Sensitive Eye Cleanser,1993,$11.0,4.414,801.7
Makeup Removers,CLINIQUE,Take The Day Off Cleansing Balm,1612,$29.00,4.6612,654.7
Makeup Removers,Makeup Eraser,The Original MakeUp Eraser? Makeup Remover Cloth,1524,$20.00,4.2822,616.8000000000001
Makeup Removers,Josie Maran,Bear Naked Wipes,1265,$6.0,4.1275,509.0
Makeup Removers,SEPHORA COLLECTION,Express Cleansing Wipes,999,$4.5,4.1351,402.0
Makeup Removers,KORRES,Pomegranate Cleansing & Make Up Removing Wipes For Oily And Combination Skin,953,$15.00,4.1291,386.90000000000003
