,index,category,brand_name,name,price,sku_number,id,rating,url
0,0,Face Brushes,SEPHORA COLLECTION,Mini Deluxe Charcoal Antibacterial Brush Set,$42.00,1869940,P415305,3.8333,http://www.sephora.com/mini-deluxe-charcoal-antibacterial-brush-set-P415305
1,1,Face Brushes,Kat Von D,Shade + Light Contour Brush,$34.00,1654128,P392128,4.1402,http://www.sephora.com/shade-light-contour-brush-P392128
2,2,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,1835560,P410535,4.7319,http://www.sephora.com/vanish-foundation-brush-P410535
3,3,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,1393628,P302919,4.6829,http://www.sephora.com/airbrush-finish-bamboo-foundation-brush-P302919
4,4,Face Brushes,SEPHORA COLLECTION,Set In Stone Brush Set,$49.00,1881481,P415196,4.0,http://www.sephora.com/set-in-stone-brush-set-P415196
5,5,Face Brushes,Too Faced,Kabuki Brush,$34.00,1578137,P384066,4.838,http://www.sephora.com/kabuki-brush-P384066
6,6,Face Brushes,bareMinerals,Beautiful Finish Foundation Brush,$32.00,1710755,P396527,4.2742,http://www.sephora.com/beautiful-finish-foundation-brush-P396527
7,7,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,1822212,P409989,4.7728,http://www.sephora.com/lock-it-setting-powder-brush-P409989
8,8,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Shape & Highlight #204,$28.00,1867613,P414676,4.8333,http://www.sephora.com/shape-highlight-brush-204-P414676
9,9,Face Brushes,tarte,Fan Brush,$30.00,1900943,P415985,5.0,http://www.sephora.com/fan-brush-P415985
10,10,Face Brushes,blendSMART,blendSMART2 Rotating Foundation Brush Starter Set,$69.00,1926286,P407479,4.0787,http://www.sephora.com/automated-makeup-brush-system-foundation-brush-head-starter-set-P407479
11,11,Face Brushes,SEPHORA COLLECTION,PRO Contour Kabuki #82,$19.00,1673847,P395335,4.5735,http://www.sephora.com/pro-contour-kabuki-82-P395335
12,12,Face Brushes,Kat Von D,Lock-It Edge Foundation Brush,$34.00,1822238,P409986,4.7372,http://www.sephora.com/lock-it-edge-foundation-brush-P409986
13,13,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Blender #78,$19.00,1655471,P393095,4.4211,http://www.sephora.com/pro-airbrush-blender-78-P393095
14,14,Face Brushes,BECCA,Champagne Collection Angled Highlighting Brush,$28.00,1832609,P409325,4.9286,http://www.sephora.com/becca-x-jaclyn-hill-angled-highlighting-brush-P409325
15,15,Face Brushes,tarte,Bronze & Glow Contour Brush,$34.00,1682103,P394259,4.5854,http://www.sephora.com/bronze-glow-contour-brush-P394259
16,16,Face Brushes,SEPHORA COLLECTION,PRO Featherweight Complexion Brush #90,$34.00,1775139,P405519,4.8966,http://www.sephora.com/pro-featherweight-complexion-brush-90-P405519
17,17,Face Brushes,Anastasia Beverly Hills,Brush #23,$25.00,1804459,P406574,4.2701,http://www.sephora.com/brush-23-P406574
18,18,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Brush Collection,$25.0,1699800,P398540,3.7073,http://www.sephora.com/hakuho-do-sephora-pro-brush-collection-P398540
19,19,Face Brushes,IT Cosmetics,Heavenly Skin™ CC+™ Skin-Perfecting Brush #702,$48.00,1868926,P412024,4.1429,http://www.sephora.com/heavenly-skin-cc-skin-perfecting-brush-702-P412024
20,20,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Concealer Brush #57,$24.00,1419480,P313020,4.8033,http://www.sephora.com/pro-airbrush-concealer-brush-57-P313020
21,21,Face Brushes,SEPHORA COLLECTION,Classic Mini Multitasker Brush #45.5,$14.00,1566595,P384691,4.6306,http://www.sephora.com/classic-mini-mineral-brush-45-5-P384691
