,category,brand_name,name,price,rating,url,num_review,score
0,Face Brushes,KEVYN AUCOIN,The Neo Powder Brush,$60.00,0.0,http://www.sephora.com/the-neo-powder-brush-P416355,1.0,4.959016393442623
1,Face Brushes,surratt beauty,Artistique Face Brush,$230.00,5.0,http://www.sephora.com/artistique-face-brush-P394816,2.0,4.9261603375527425
2,Face Brushes,MAKE UP FOR EVER,414 Body Kabuki,$43.00,1.0,http://www.sephora.com/414-body-kabuki-P382374,1.0,4.888888888888889
3,Face Brushes,surratt beauty,Artistique Highlight Brush,$115.00,5.0,http://www.sephora.com/artistique-highlight-brush-P394814,1.0,4.87603305785124
4,Face Brushes,KEVYN AUCOIN,The Large Powder Brush,$75.00,5.0,http://www.sephora.com/the-large-powder-brush-P404816,1.0,4.814814814814815
5,Fine Lines & Wrinkles,Guerlain,Abeille Royale 1-Month Youth Treatment,$265.00,5.0,http://www.sephora.com/abeille-royale-1-month-youth-treatment-P397607,1.0,4.944649446494465
6,Fine Lines & Wrinkles,Tria,Nourishing Eye Renewal Cream,$65.00,1.0,http://www.sephora.com/nourishing-eye-renewal-cream-P398819,1.0,4.925373134328358
7,Fine Lines & Wrinkles,KAPLAN MD,Intensive Eye Concentrate,$85.00,2.0,http://www.sephora.com/intensive-eye-concentrate-P392463,1.0,4.9147727272727275
8,Fine Lines & Wrinkles,Algenist,Catalyst Alguronic Acid Power Treatment,$145.00,5.0,http://www.sephora.com/catalyst-alguronic-acid-power-treatment-P402603,1.0,4.900662251655629
9,Fine Lines & Wrinkles,Guerlain,Super Aqua-Crème Night Balm,$155.00,3.8333,http://www.sephora.com/super-aqua-creme-night-balm-P385577,6.0,4.862804878048781
10,Men's,The Art of Shaving,Lexington Collection™ Shave Set,$150.00,2.0,http://www.sephora.com/lexington-collection-shave-set-P404493,1.0,4.950980392156863
11,Men's,The Art of Shaving,7-Piece Manicure Set,$160.00,3.5,http://www.sephora.com/7-piece-manicure-set-P383219,4.0,4.895209580838324
12,Men's,The Art of Shaving,Lexington Collection™ Razor & Cartridge,$125.00,5.0,http://www.sephora.com/lexington-collection-tm-razor-cartridge-P387951,1.0,4.885496183206107
13,Men's,The Art of Shaving,Fusion Chrome Collection Shaving Brush,$80.00,2.5,http://www.sephora.com/fusion-chrome-collection-shaving-brush-P225345,2.0,4.880952380952381
14,Men's,The Art of Shaving,Fusion Chrome Collection Shaving Brush & Razor Stand,$110.00,4.0,http://www.sephora.com/fusion-chrome-collection-shaving-brush-razor-stand-P225346,3.0,4.85042735042735
15,Makeup Removers,Bobbi Brown,Line & Define Long-Wear Eye Set,$56.00,3.5,http://www.sephora.com/line-define-long-wear-eye-set-P414773,4.0,4.722222222222222
16,Makeup Removers,Lancer,Makeup Removing Wipes,$40.00,4.0,http://www.sephora.com/makeup-removing-wipes-P408901,2.0,4.673913043478261
