,category,brand_name,name,price,rating,url,num_review,score
0,Face Brushes,surratt beauty,Artistique Highlight Brush,$115.00,5.0,http://www.sephora.com/artistique-highlight-brush-P394814,1.0,4.979338842975206
1,Face Brushes,surratt beauty,Artistique Face Brush,$230.00,5.0,http://www.sephora.com/artistique-face-brush-P394816,2.0,4.9789029535864975
2,Face Brushes,KEVYN AUCOIN,The Large Powder Brush,$75.00,5.0,http://www.sephora.com/the-large-powder-brush-P404816,1.0,4.969135802469136
3,Face Brushes,Black Up,Contouring Brush,$59.00,5.0,http://www.sephora.com/contouring-brush-P409814,1.0,4.961538461538462
4,Face Brushes,KEVYN AUCOIN,The Neo Powder Brush,$60.00,0.0,http://www.sephora.com/the-neo-powder-brush-P416355,1.0,4.959016393442623
5,Fine Lines & Wrinkles,Guerlain,Abeille Royale 1-Month Youth Treatment,$265.00,5.0,http://www.sephora.com/abeille-royale-1-month-youth-treatment-P397607,1.0,4.990774907749078
6,Fine Lines & Wrinkles,Algenist,Catalyst Alguronic Acid Power Treatment,$145.00,5.0,http://www.sephora.com/catalyst-alguronic-acid-power-treatment-P402603,1.0,4.983443708609271
7,Fine Lines & Wrinkles,KAPLAN MD,Intensive Eye Concentrate,$85.00,2.0,http://www.sephora.com/intensive-eye-concentrate-P392463,1.0,4.971590909090909
8,Fine Lines & Wrinkles,Tria,Nourishing Eye Renewal Cream,$65.00,1.0,http://www.sephora.com/nourishing-eye-renewal-cream-P398819,1.0,4.962686567164179
9,Fine Lines & Wrinkles,Lancer,The Method: Nourish Sensitive Skin,$125.00,4.25,http://www.sephora.com/the-method-nourish-sensitive-skin-P399744,4.0,4.924812030075188
10,Men's,The Art of Shaving,Lexington Collection™ Shave Set,$150.00,2.0,http://www.sephora.com/lexington-collection-shave-set-P404493,1.0,4.983660130718954
11,Men's,The Art of Shaving,Lexington Collection™ Razor & Cartridge,$125.00,5.0,http://www.sephora.com/lexington-collection-tm-razor-cartridge-P387951,1.0,4.980916030534351
12,Men's,HERMÈS,Voyage d’Hermès Moisturizing Face and Body Balm,$74.00,4.0,http://www.sephora.com/voyage-d-hermes-moisturizing-face-body-balm-P380628,1.0,4.968354430379747
13,Men's,CHANEL,BLEU DE CHANEL After Shave Lotion,$60.00,5.0,http://www.sephora.com/bleu-de-chanel-after-shave-balm-P275200,1.0,4.962121212121212
14,Men's,Anthony,High Performance Age Defying Trio,$59.00,5.0,http://www.sephora.com/high-performance-age-defying-trio-P397374,1.0,4.961538461538462
15,Makeup Removers,Lancer,Makeup Removing Wipes,$40.00,4.0,http://www.sephora.com/makeup-removing-wipes-P408901,2.0,4.891304347826087
16,Makeup Removers,Bobbi Brown,Line & Define Long-Wear Eye Set,$56.00,3.5,http://www.sephora.com/line-define-long-wear-eye-set-P414773,4.0,4.841269841269841
17,Makeup Removers,Cinema Secrets,Call Time Gentle Cleansing Water,$16.00,3.3333,http://www.sephora.com/call-time-gentle-cleansing-water-P410841,3.0,4.659090909090909
18,Makeup Removers,Bobbi Brown,Eye Makeup Remover,$41.00,3.625,http://www.sephora.com/eye-makeup-remover-P395512,9.0,4.5754716981132075
19,Makeup Removers,Laura Mercier,Flawless Skin Dual-Action Eye Makeup Remover Oil-Free,$24.00,4.0,http://www.sephora.com/flawless-skin-dual-action-eye-makeup-remover-oil-free-P280930,7.0,4.5
20,Face Masks,Omorovicza,Instant Plumping Cream Overnight Mask,$260.00,3.5,http://www.sephora.com/instant-plumping-cream-P309213,2.0,4.981132075471698
21,Face Masks,Skin Inc.,Mask To Perfection,$95.00,5.0,http://www.sephora.com/mask-to-perfection-P406102,1.0,4.975247524752476
22,Face Masks,Tata Harper,The Multi-Masking Collection,$178.00,4.5,http://www.sephora.com/the-multi-masking-collection-P412769,2.0,4.9728260869565215
23,Face Masks,Lancer,Younger® Revealing Mask Intense,$250.00,3.6667,http://www.sephora.com/younger-revealing-mask-intense-P414110,3.0,4.970703125
24,Face Masks,Lancer,Radiance Awakening Mask Intense,$140.00,4.0,http://www.sephora.com/radiance-awakening-mask-intense-P415663,2.0,4.965753424657534
25,Lipstick,Black Up,Matte Liquid Lipcolor,$27.50,4.0,http://www.sephora.com/matte-liquid-lipcolor-P416363,1.0,4.921875
26,Lipstick,TOM FORD,Lip Color Shine,$53.00,5.0,http://www.sephora.com/lip-color-shine-P416223,2.0,4.916666666666667
27,Lipstick,Smashbox,Be Legendary Cream Lipstick Palette,$75.00,3.5,http://www.sephora.com/be-legendary-cream-lipstick-palette-P416406,3.0,4.907407407407407
28,Lipstick,TOM FORD,Lip Color Matte,$53.00,5.0,http://www.sephora.com/lip-color-matte-P416222,3.0,4.877049180327869
29,Lipstick,Urban Decay,Vice Lipstick Stockpile,$325.00,4.6316,http://www.sephora.com/vice-lipstick-stockpile-P414299,19.0,4.863505747126437
30,Lotions & Oils,Dior,J’adore Huile Divine Oil,$85.00,5.0,http://www.sephora.com/j-adore-huile-divine-oil-P413672,1.0,4.972527472527473
31,Lotions & Oils,Tory Burch,Tory Burch Crème De Florale Body Crème,$82.00,5.0,http://www.sephora.com/tory-burch-creme-de-florale-body-cr-egrave-me-P404284,1.0,4.971590909090909
32,Lotions & Oils,TOM FORD,Oud Wood Body Moisturizer,$67.00,5.0,http://www.sephora.com/oud-wood-body-moisturizer-P393173,1.0,4.965753424657534
33,Lotions & Oils,Michael Kors,Michael Kors Body Crème,$60.00,5.0,http://www.sephora.com/michael-kors-body-creme-P395446,1.0,4.962121212121212
34,Lotions & Oils,AERIN,Gardenia Rattan Body Cream,$58.00,5.0,http://www.sephora.com/gardenia-rattan-body-cream-P395776,1.0,4.9609375
35,Hair Oil,Shiseido,Future Solution LX Replenishing Treatment Oil,$175.00,5.0,http://www.sephora.com/future-solution-lx-replenishing-treatment-oil-P405402,3.0,4.959016393442623
36,Hair Oil,Rahua,Elixir,$175.00,4.8,http://www.sephora.com/elixir-P407491,5.0,4.932065217391305
37,Hair Oil,Rahua,Elixir Daily Hair Drops,$105.00,4.5,http://www.sephora.com/elixir-daily-hair-drops-P408244,4.0,4.911504424778761
38,Hair Oil,Perricone MD,PRE:EMPT SERIES™ The Fixer Solid Oil Balm,$38.00,0.0,http://www.sephora.com/pre-empt-series-fixer-solid-oil-balm-P415709,2.0,4.875
39,Hair Oil,Moroccanoil,Pure Argan Oil,$52.00,5.0,http://www.sephora.com/pure-argan-oil-P412114,3.0,4.875
40,Bath & Body,Tory Burch,Tory Burch Crème De Florale Body Crème,$82.00,5.0,http://www.sephora.com/tory-burch-creme-de-florale-body-cr-egrave-me-P404284,1.0,4.971590909090909
41,Bath & Body,TOM FORD,Oud Wood Body Moisturizer,$67.00,5.0,http://www.sephora.com/oud-wood-body-moisturizer-P393173,1.0,4.965753424657534
42,Bath & Body,Michael Kors,Michael Kors Body Crème,$60.00,5.0,http://www.sephora.com/michael-kors-body-creme-P395446,1.0,4.962121212121212
43,Bath & Body,AERIN,Lilac Path Body Cream,$58.00,5.0,http://www.sephora.com/lilac-path-body-cream-P395770,1.0,4.9609375
44,Bath & Body,AERIN,Gardenia Rattan Body Cream,$58.00,5.0,http://www.sephora.com/gardenia-rattan-body-cream-P395776,1.0,4.9609375
45,Foundation,Dior,Capture Totale Dreamskin Perfect Skin Cushion Broad Spectrum SPF 50 Refill,$42.00,5.0,http://www.sephora.com/capture-totale-dreamskin-perfect-skin-cushion-broad-spectrum-spf-50-refill-P415684,1.0,4.947916666666667
46,Foundation,philosophy,Renewed Hope in a Jar Skin Tint,$39.00,5.0,http://www.sephora.com/renewed-hope-in-jar-skin-tint-P417009,1.0,4.944444444444445
47,Foundation,Dr. Jart+,Air Mesh,$48.00,5.0,http://www.sephora.com/air-mesh-P416583,2.0,4.909090909090909
48,Foundation,Erborian,Liquid BB Crème Au Ginseng Cushion Compact,$48.00,3.0,http://www.sephora.com/liquid-bb-cr-me-au-ginseng-cushion-compact-P411366,2.0,4.90566037735849
49,Foundation,bareMinerals,Ingrid Nilsen Be Your best Self 4-Piece Customizable Set,$50.00,4.6,http://www.sephora.com/ingrid-nilsen-be-your-best-self-4-piece-customizable-set-P417101,5.0,4.788135593220339
50,Face Serums,Lancer,Lift Serum Intense with Stem Cell Recovery Complex,$275.00,5.0,http://www.sephora.com/lift-serum-intense-with-stem-cell-recovery-complex-P406736,1.0,4.9911032028469755
51,Face Serums,Lancer,Younger® Pure Youth Serum with MIMIXYL™,$275.00,5.0,http://www.sephora.com/younger-pure-youth-serum-with-mimixyl-P406610,1.0,4.9911032028469755
52,Face Serums,Guerlain,Abeille Royale 1-Month Youth Treatment,$265.00,5.0,http://www.sephora.com/abeille-royale-1-month-youth-treatment-P397607,1.0,4.990774907749078
53,Face Serums,AmorePacific,All Day Balancing Care Serum,$200.00,5.0,http://www.sephora.com/all-day-balancing-care-serum-P412405,1.0,4.987864077669903
54,Face Serums,Kate Somerville,KateCeuticals™ Restor8 Replenishing Serum,$170.00,5.0,http://www.sephora.com/kateceuticals-restor8-replenishing-serum-P409918,1.0,4.985795454545454
55,Mascara,Lancer,Lash Serum Intense,$150.00,4.0,http://www.sephora.com/lash-serum-intense-P414108,2.0,4.967948717948718
56,Mascara,Chosungah 22,Dong Gong Minn Rocking Volume Mascara,$22.00,3.0,http://www.sephora.com/dong-gong-minn-rocking-volume-mascara-P408033,1.0,4.903846153846154
57,Mascara,Bobbi Brown,Line & Define Long-Wear Eye Set,$56.00,3.5,http://www.sephora.com/line-define-long-wear-eye-set-P414773,4.0,4.841269841269841
58,Mascara,Guerlain,My Beauty Essentials Set,$32.00,0.0,http://www.sephora.com/my-beauty-essentials-set-P416772,3.0,4.785714285714286
59,Mascara,Marc Jacobs Beauty,About Lash Night 3-Piece Mascara And Eyeliner Collection,$36.00,4.0,http://www.sephora.com/about-lash-night-3-piece-mascara-eyeliner-collection-P411243,4.0,4.7727272727272725
60,Lip Balms & Treatments,Kari Gran,Lip Whip Duo,$42.00,5.0,http://www.sephora.com/lip-whip-duo-P406307,1.0,4.947916666666667
61,Lip Balms & Treatments,Fresh,In The Buff Bundle,$42.00,0.0,http://www.sephora.com/in-buff-bundle-P416956,1.0,4.941860465116279
62,Lip Balms & Treatments,rms beauty,Lip & Skin Balm,$36.00,4.0,http://www.sephora.com/lip-skin-balm-P415649,1.0,4.939024390243903
63,Lip Balms & Treatments,VERSO SKINCARE,Lip Serum,$65.00,3.5,http://www.sephora.com/lip-serum-P414719,2.0,4.928571428571429
64,Lip Balms & Treatments,Fresh,Nourishing Naturals Lip Duo,$28.00,5.0,http://www.sephora.com/nourishing-naturals-lip-duo-P416324,2.0,4.857142857142857
65,Scalp & Hair Treatments,Phyto,Phytoplage Sublime After Sun Hair & Body Oil,$40.00,4.0,http://www.sephora.com/phytoplage-sublime-after-sun-hair-body-oil-P394360,1.0,4.944444444444445
66,Scalp & Hair Treatments,Phyto,Phytospecific Rich Hydration Mask,$39.00,1.0,http://www.sephora.com/phytospecific-rich-hydration-mask-P389803,1.0,4.939024390243903
67,Scalp & Hair Treatments,Sachajuan,Hair In The Sun,$32.00,5.0,http://www.sephora.com/hair-in-sun-P410235,1.0,4.934210526315789
68,Scalp & Hair Treatments,Rahua,Elixir,$175.00,4.8,http://www.sephora.com/elixir-P407491,5.0,4.932065217391305
69,Scalp & Hair Treatments,Phyto,Phytologist Botanical Scalp and Hair Concentrate,$95.00,5.0,http://www.sephora.com/phytologist-botanical-scalp-hair-concentrate-P411362,3.0,4.927184466019417
70,Perfume Gift Sets,Atelier Cologne,Collection Azur Deluxe Gift Set,$295.00,1.0,http://www.sephora.com/collection-azur-deluxe-gift-set-P401557,1.0,4.991582491582491
71,Perfume Gift Sets,Chloé,Chloe Signature Prestige Gift Set,$138.00,5.0,http://www.sephora.com/chloe-signature-prestige-gift-set-P411914,1.0,4.982638888888889
72,Perfume Gift Sets,Viktor & Rolf,Flowerbomb Gift Set,$120.00,5.0,http://www.sephora.com/flowerbomb-gift-set-P415800,1.0,4.98015873015873
73,Perfume Gift Sets,Tory Burch,Tory Burch Gift Set,$110.00,5.0,http://www.sephora.com/tory-burch-gift-set-P411726,1.0,4.978448275862069
74,Perfume Gift Sets,kate spade new york,Live Colorfully Gift Set,$98.00,5.0,http://www.sephora.com/live-colorfully-gift-set-P411330,1.0,4.975961538461538
75,Makeup Palettes,Smashbox,Be Legendary Cream Lipstick Palette,$75.00,3.5,http://www.sephora.com/be-legendary-cream-lipstick-palette-P416406,3.0,4.907407407407407
76,Makeup Palettes,Viseart,Highlight & Contour Palette,$80.00,4.25,http://www.sephora.com/highlight-contour-palette-P412348,4.0,4.886363636363637
77,Makeup Palettes,Natasha Denona,Eyeshadow Palette 10,$95.00,5.0,http://www.sephora.com/eyeshadow-palette-10-P411827,6.0,4.8584905660377355
78,Makeup Palettes,Guerlain,Palette 5 Couleurs,$69.00,3.4,http://www.sephora.com/palette-5-couleurs-P412121,5.0,4.837662337662338
79,Makeup Palettes,CLINIQUE,Pretty Easy Brow Palette,$34.50,4.6667,http://www.sephora.com/pretty-easy-brow-palette-P400706,3.0,4.817073170731708
80,Value & Gift Sets,NuFACE,Trinity Facial Toning Device + Wrinkle Reducer Attachment Bundle,$429.00,5.0,http://www.sephora.com/trinity-facial-toning-device-wrinkle-reducer-attachment-bundle-P393600,1.0,4.994252873563219
81,Value & Gift Sets,ghd,The Smooth & finish Kit,$279.00,4.0,http://www.sephora.com/the-smooth-finish-kit-P408694,1.0,4.991197183098592
