,category,brand_name,name,price,rating,num_review,score,word,dfidf
0,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,influenster,0.4463111344885785
1,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,hourglass,0.44004377974780834
2,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,brushes,0.2378066062651571
3,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,vanish,0.4586392380821777
4,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,bristles,0.4020271439225389
5,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,influenster,0.42291618634075434
6,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,brushes,0.2926582492691399
7,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,blending,0.2653040521405344
8,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,lock,0.28938229730484605
9,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,bristles,0.6047033957624084
10,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,fluffy,0.20191984387312806
11,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,bristles,0.4421846184087473
12,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,brushes,0.29808472152841076
13,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,setting,0.5866030454739982
14,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,influenster,0.36698581906033056
15,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,bristles,0.6156380367761355
16,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,airbrushed,0.22874672535210805
17,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,brushes,0.3704266047211754
18,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,shedding,0.25527905039865945
19,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,tarte,0.3062495372019848
20,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,bristles,0.46803110618985194
21,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,airbrushed,0.3040727698317926
22,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,brushes,0.5384516122238399
23,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,airbrush,0.29305099674998963
24,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,foundations,0.2212793111784017
25,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,wrinkles,0.6083156326950291
26,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,shiseido,0.3130690420569095
27,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,jar,0.1552415474796148
28,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,circles,0.35805057383567346
29,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,wrinkle,0.1854899043009385
30,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,wrinkles,0.12511148196724015
31,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,pad,0.15585948807929753
