category,brand_name,name,price,rating,url,num_review,score
Face Brushes,Hourglass,Vanish Foundation Brush,46,4.7319,http://www.sephora.com/vanish-foundation-brush-P410535,1412.0,1134.6000000000001
Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,24,4.6057,http://www.sephora.com/lock-it-edge-concealer-brush-P409975,1266.0,1015.6
Face Brushes,Kat Von D,Lock-It Setting Powder Brush,38,4.7728,http://www.sephora.com/lock-it-setting-powder-brush-P409989,1206.0,969.0000000000001
Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,34,4.6829,http://www.sephora.com/airbrush-finish-bamboo-foundation-brush-P302919,1158.0,930.2
Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,32,4.7554,http://www.sephora.com/pro-flawless-airbrush-56-P313012,739.0,594.8000000000001
Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,57,4.2723,http://www.sephora.com/benefiance-wrinkleresist24-intensive-eye-contour-cream-P173620,1537.0,1235.7
Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,75,4.1531,http://www.sephora.com/miracle-worker-miraculous-anti-aging-retinoid-pads-solution-P254602,1208.0,974.3000000000001
Fine Lines & Wrinkles,philosophy,Help Me,49,4.3736,http://www.sephora.com/help-me-P4647,1143.0,919.7
Fine Lines & Wrinkles,philosophy,Miraculous Anti-wrinkle Miracle Worker,60,4.3136,http://www.sephora.com/anti-wrinkle-miracle-worker-P254209,1113.0,896.8000000000001
Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,75,4.2627,http://www.sephora.com/face-finishing-moisturizer-P211304,1021.0,824.7
Men's,Bite Beauty,Agave Lip Mask,26,4.4234,http://www.sephora.com/agave-lip-mask-P384629,2845.0,2279.0
Men's,Jack Black,Intense Therapy Lip Balm SPF 25,7,4.6912,http://www.sephora.com/intense-therapy-lip-balm-spf-25-P12573,2647.0,2118.7
Men's,Bumble and bumble,Surf Spray,16,3.6327,http://www.sephora.com/surf-spray-P280513,2090.0,1673.9
Men's,boscia,Detoxifying Black Cleanser,10,4.2863,http://www.sephora.com/detoxifying-black-cleanser-P302940,1920.0,1537.4
Men's,Perfekt,Skin Perfection Gel,19,4.0603,http://www.sephora.com/skin-perfection-gel-P119802,1742.0,1395.9
Makeup Removers,Lancôme,BI-FACIL - Double-Action Eye Makeup Remover,15,4.6813,http://www.sephora.com/bi-facil-double-action-eye-makeup-remover-P54477,2984.0,2389.1000000000004
Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,7,4.4093,http://www.sephora.com/waterproof-eye-makeup-remover-P276319,2896.0,2317.9
Makeup Removers,boscia,MakeUp-BreakUp Cool Cleansing Oil,10,4.4689,http://www.sephora.com/makeup-breakup-cool-cleansing-oil-P254604,2174.0,1740.6000000000001
Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",9,4.5712,http://www.sephora.com/take-the-day-off-makeup-remover-for-lids-lashes-lips-P122735,2097.0,1678.9
Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,11,4.414,http://www.sephora.com/sens-eyes-waterproof-sensitive-eye-cleanser-P171101,1993.0,1595.9
Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,69,4.2119,http://www.sephora.com/super-mud-clearing-treatment-P376409,3495.0,2803.3
Face Masks,boscia,Luminizing Black Mask,34,3.9049,http://www.sephora.com/luminizing-black-mask-P266800,3450.0,2763.7
Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,4,4.3336,http://www.sephora.com/clear-improvement-active-charcoal-mask-to-clear-pores-P297524,2825.0,2260.8
Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,22,4.0597,http://www.sephora.com/youthmud-tinglexfoliate-treatment-P375741,1938.0,1553.0
Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,48,4.2492,http://www.sephora.com/wild-rose-vitamin-c-advanced-brightening-sleeping-facial-P306883,1483.0,1191.6000000000001
Lipstick,Kat Von D,Everlasting Liquid Lipstick,20,4.305,http://www.sephora.com/everlasting-love-liquid-lipstick-P384954,10138.0,8112.8
Lipstick,SEPHORA COLLECTION,Cream Lip Stain,7,4.3426,http://www.sephora.com/cream-lip-stain-P281411,6158.0,4927.500000000001
