,category,brand_name,name,price,rating,num_review,score,similarity_score,word,dfidf
0,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,0.5981609999999999,dense,0.24777730253611657
1,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,0.5981609999999999,bristles,0.457884511353139
2,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,0.5981609999999999,hourglass,0.4872234444124197
3,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,0.5981609999999999,brushes,0.26852940027113587
4,Face Brushes,Hourglass,Vanish Foundation Brush,$46.00,4.7319,1412.0,377.0,0.5981609999999999,vanish,0.5121983063363164
5,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,0.645103,dense,0.15826840632501987
6,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,0.645103,brushes,0.3241801021196763
7,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,0.645103,blending,0.2895971995472302
8,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,0.645103,lock,0.31606679150353717
9,Face Brushes,Kat Von D,Lock-It Edge Concealer Brush,$24.00,4.6057,1266.0,329.5,0.645103,bristles,0.675617113266062
10,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,0.610867,bristles,0.4848852198069924
11,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,0.610867,brushes,0.3240726509761862
12,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,0.610867,setting,0.622590245269579
13,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,0.610867,lock,0.17841334195191114
14,Face Brushes,Kat Von D,Lock-It Setting Powder Brush,$38.00,4.7728,1206.0,321.5,0.610867,fluffy,0.216478390470776
15,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,0.482707,bristles,0.6445521015774067
16,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,0.482707,airbrushed,0.23281941014163304
17,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,0.482707,brushes,0.3845051007526604
18,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,0.482707,clay,0.2082740533729665
19,Face Brushes,tarte,Airbrush Finish Bamboo Foundation Brush,$34.00,4.6829,1158.0,307.5,0.482707,tarte,0.31029607462832803
20,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,0.503556,bristles,0.474857014847583
21,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,0.503556,airbrushed,0.2999144460121919
22,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,0.503556,brushes,0.5416293274369498
23,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,0.503556,airbrush,0.28904340034200704
24,Face Brushes,SEPHORA COLLECTION,PRO Flawless Airbrush #56,$32.00,4.7554,739.0,201.75,0.503556,foundations,0.21706595483273008
25,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,0.486716,wrinkles,0.6088021080439103
26,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,0.486716,shiseido,0.31083843116620374
27,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,0.486716,jar,0.15442287373080318
28,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,0.486716,circles,0.34905421352399457
29,Fine Lines & Wrinkles,Shiseido,Benefiance WrinkleResist24 Intensive Eye Contour Cream,$57.00,4.2723,1537.0,413.75,0.486716,wrinkle,0.1808292945010616
30,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,0.48500200000000004,wrinkles,0.12258058738135631
31,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,0.48500200000000004,pad,0.14978357157044236
32,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,0.48500200000000004,philosophy,0.2885694862804034
33,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,0.48500200000000004,retinol,0.143326723874134
34,Fine Lines & Wrinkles,philosophy,Miracle Worker™ Miraculous Anti-aging Retinoid Pads and Solution,$75.00,4.1531,1208.0,340.5,0.48500200000000004,pads,0.8492616192322876
